2019-04-28 20:31:04 INFO  TestBase:37 - clickbox
2019-04-28 20:55:54 INFO  TestBase:24 - FrontPage
2019-04-28 20:56:00 INFO  TestBase:32 - firstTestPage
2019-04-28 20:56:05 INFO  TestBase:24 - FrontPage
2019-04-28 20:56:10 INFO  TestBase:41 - clickbox
2019-04-28 20:58:59 INFO  TestBase:24 - FrontPage
2019-04-28 20:59:04 INFO  TestBase:32 - firstTestPage
2019-04-28 20:59:10 INFO  TestBase:24 - FrontPage
2019-04-28 20:59:15 INFO  TestBase:41 - clickbox
2019-04-28 21:01:32 INFO  TestBase:24 - FrontPage
2019-04-28 21:01:38 INFO  TestBase:32 - firstTestPage
2019-04-28 21:01:42 INFO  TestBase:24 - FrontPage
2019-04-28 21:01:47 INFO  TestBase:44 - clickbox
2019-04-28 21:02:45 INFO  TestBase:24 - FrontPage
2019-04-28 21:02:51 INFO  TestBase:32 - firstTestPage
2019-04-28 21:02:57 INFO  TestBase:24 - FrontPage
2019-04-28 21:03:03 INFO  TestBase:44 - clickbox
2019-04-28 21:06:18 INFO  TestBase:24 - FrontPage
2019-04-28 21:06:24 INFO  TestBase:32 - firstTestPage
2019-04-28 21:06:29 INFO  TestBase:24 - FrontPage
2019-04-28 21:06:34 INFO  TestBase:49 - clickbox
2019-04-28 21:06:54 INFO  TestBase:24 - FrontPage
2019-04-28 21:07:00 INFO  TestBase:32 - firstTestPage
2019-04-28 21:07:25 INFO  TestBase:24 - FrontPage
2019-04-28 21:07:30 INFO  TestBase:49 - clickbox
2019-04-28 21:11:39 INFO  TestBase:24 - FrontPage
2019-04-28 21:11:45 INFO  TestBase:32 - firstTestPage
2019-04-28 21:11:51 INFO  TestBase:24 - FrontPage
2019-04-28 21:11:56 INFO  TestBase:42 - clickbox
2019-04-28 22:21:24 INFO  TestBase:24 - FrontPage
2019-04-28 22:21:30 INFO  TestBase:32 - firstTestPage
2019-04-28 22:21:36 INFO  TestBase:24 - FrontPage
2019-04-28 22:21:41 INFO  TestBase:42 - clickbox
2019-04-28 22:40:12 INFO  TestBase:26 - FrontPage
2019-04-28 22:40:18 INFO  TestBase:34 - firstTestPage
2019-04-28 22:40:25 INFO  TestBase:26 - FrontPage
2019-04-28 22:40:30 INFO  TestBase:44 - clickbox
2019-04-28 22:40:32 INFO  TestBase:26 - FrontPage
2019-04-28 22:44:15 INFO  TestBase:26 - FrontPage
2019-04-28 22:44:21 INFO  TestBase:34 - firstTestPage
2019-04-28 22:44:26 INFO  TestBase:26 - FrontPage
2019-04-28 22:44:32 INFO  TestBase:44 - clickbox
2019-04-28 22:44:34 INFO  TestBase:26 - FrontPage
2019-04-28 22:45:55 INFO  TestBase:26 - FrontPage
2019-04-28 22:46:01 INFO  TestBase:34 - firstTestPage
2019-04-28 22:46:07 INFO  TestBase:26 - FrontPage
2019-04-28 22:46:12 INFO  TestBase:44 - clickbox
2019-04-28 22:46:14 INFO  TestBase:26 - FrontPage
2019-04-28 22:56:17 INFO  TestBase:26 - FrontPage
2019-04-28 22:56:26 INFO  TestBase:26 - FrontPage
2019-04-28 22:56:32 INFO  TestBase:34 - firstTestPage
2019-04-28 22:56:38 INFO  TestBase:26 - FrontPage
2019-04-28 22:56:44 INFO  TestBase:44 - clickbox
2019-04-28 22:56:46 INFO  TestBase:26 - FrontPage
2019-04-28 22:59:01 INFO  TestBase:26 - FrontPage
2019-04-28 22:59:06 INFO  TestBase:34 - firstTestPage
2019-04-28 22:59:12 INFO  TestBase:26 - FrontPage
2019-04-28 22:59:36 INFO  TestBase:26 - FrontPage
2019-04-28 23:00:04 INFO  TestBase:26 - FrontPage
2019-04-28 23:00:09 INFO  TestBase:34 - firstTestPage
2019-04-28 23:00:15 INFO  TestBase:26 - FrontPage
2019-04-28 23:00:20 INFO  TestBase:44 - clickbox
2019-04-28 23:02:06 INFO  TestBase:26 - FrontPage
2019-04-28 23:02:38 INFO  TestBase:26 - FrontPage
2019-04-28 23:02:59 INFO  TestBase:34 - firstTestPage
2019-04-28 23:03:03 INFO  TestBase:26 - FrontPage
2019-04-28 23:03:09 INFO  TestBase:44 - clickbox
